Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 9:23:54.950 	31.355791	41.295277	11.340407	6.814860	4.125342	35.471378	42.567326	9.294323	4.670037	2.710821	73.826705	62.709509	41.521455	4.734453	71.033294	24.232253
오후 9:23:55.949 	31.577464	41.202564	11.289093	6.808855	4.100889	35.515989	42.602144	9.371259	4.668463	2.713748	73.688699	62.406706	42.624763	3.369170	67.326660	29.304171
오후 9:23:56.970 	31.490972	40.768988	11.489180	7.070502	4.246958	35.596383	42.166642	9.516731	4.885927	2.826520	73.639632	62.112818	42.612157	2.879174	66.713120	30.407706
오후 9:23:58.026 	31.406282	40.850752	11.535814	7.037414	4.257909	35.605990	42.140354	9.543784	4.855765	2.821257	73.610224	61.954319	42.551592	2.537682	69.601476	27.860841
오후 9:23:59.062 	31.375178	40.857308	11.571065	7.016138	4.262653	35.559609	42.128154	9.572220	4.857164	2.796993	73.512364	61.703667	42.581885	2.549091	69.760623	27.690286
오후 9:24:00.027 	31.479591	40.866550	11.473903	6.989229	4.236970	35.583907	42.049043	9.634402	4.867070	2.796195	73.468412	61.499357	42.369379	2.480345	69.521334	27.998322
오후 9:24:01.014 	31.514513	40.980749	11.472049	6.894288	4.211342	35.538236	42.040072	9.646345	4.870875	2.805147	73.453773	61.503652	42.285603	2.172097	69.465915	28.361987
오후 9:24:02.056 	31.364344	41.097357	11.492032	6.969321	4.184076	35.496039	42.139129	9.624496	4.856010	2.774721	73.444016	61.551680	42.285603	2.231567	69.106815	28.661618
오후 9:24:03.120 	30.350921	41.425650	12.134564	6.693075	4.062757	34.039871	42.475189	10.306229	4.682806	2.684184	73.339610	62.519990	42.727101	2.996270	67.318202	29.685529
오후 9:24:04.215 	31.429795	40.983353	11.456595	6.912964	4.275137	35.988310	41.920068	9.459547	4.764216	2.737510	73.200953	62.220850	42.089475	3.925236	67.116083	28.958681
오후 9:24:05.207 	31.382465	41.231292	11.364369	6.872436	4.242916	35.934204	42.064721	9.398925	4.711364	2.731584	73.031764	61.420679	41.974431	5.551183	64.708464	29.740353
오후 9:24:06.251 	31.279754	41.389491	11.404480	6.799432	4.252451	35.890465	42.132739	9.418545	4.698164	2.727677	72.689462	58.569904	41.421514	6.021725	64.135775	29.842499
오후 9:24:07.184 	31.292566	41.454001	11.372555	6.751370	4.257679	35.855268	42.145522	9.486788	4.741079	2.708857	72.655563	58.338647	41.767398	6.728191	64.628592	28.643217
오후 9:24:08.135 	31.128010	41.590299	11.428585	6.748409	4.202647	35.934473	42.160761	9.435171	4.708214	2.717981	72.872957	60.120665	42.214389	5.569951	63.607187	30.822862
오후 9:24:09.259 	31.137163	41.594016	11.479258	6.805790	4.193269	35.887313	42.172869	9.467954	4.726261	2.735097	72.906586	60.425898	42.480824	4.893402	65.903625	29.202972
오후 9:24:10.199 	31.228339	41.536012	11.454594	6.772963	4.202033	35.873196	42.194925	9.545642	4.734732	2.736418	72.839968	60.572718	43.125728	4.618315	68.325640	27.056045
오후 9:24:11.161 	31.337496	41.318887	11.460258	6.775528	4.203802	35.757097	42.330329	9.521318	4.739378	2.743944	72.805928	60.687918	43.027051	4.753740	67.659658	27.586602
오후 9:24:12.094 	32.071340	39.075898	11.724439	7.482390	4.653263	36.945300	40.195527	9.515731	5.172775	3.022966	72.771920	60.599322	42.268028	5.089773	68.160859	26.749368
오후 9:24:13.041 	32.868826	37.732022	12.359424	7.372203	4.583637	37.057676	38.870739	10.285340	5.292286	3.123062	72.390309	57.037785	42.157004	5.183715	72.036358	22.779926
오후 9:24:14.117 	32.560184	38.067902	12.411647	7.391448	4.559339	37.026944	38.797743	10.202146	5.319696	3.130473	72.208171	54.444546	42.260292	5.174895	72.668243	22.156862
오후 9:24:15.149 	32.375048	37.526133	12.407669	7.868783	4.873296	37.255325	38.396812	9.775276	5.850817	3.430660	72.117445	52.559411	41.668120	5.214204	72.498469	22.287326
오후 9:24:16.100 	32.347778	37.570260	12.345404	7.834885	4.868903	37.282165	38.298197	9.720932	5.939997	3.443741	72.185297	53.711912	41.500035	5.325426	70.406264	24.268310
오후 9:24:17.148 	32.306942	37.615591	12.376354	7.808054	4.859706	37.291717	38.225295	9.740155	5.923635	3.448128	72.256013	53.631636	41.689040	4.692995	66.400481	28.906525
오후 9:24:18.132 	32.311613	37.733755	12.322264	7.867835	4.830229	37.234781	38.131818	9.791989	5.966169	3.443833	72.241653	53.642626	41.268618	4.374313	63.878821	31.746866
오후 9:24:19.162 	32.254011	37.696773	12.327535	7.921443	4.852679	37.246152	38.091552	9.775494	5.960600	3.478826	72.351887	53.451410	41.329317	3.905548	68.339313	27.755139
오후 9:24:20.212 	32.171582	37.826746	12.306362	8.001476	4.828949	37.216754	38.074490	9.809876	5.954239	3.481504	72.534752	52.517804	41.360951	3.889970	69.900869	26.209161
오후 9:24:21.282 	32.157725	37.883155	12.274648	7.901021	4.840308	37.236964	38.065491	9.894675	5.885573	3.480010	72.700500	50.771609	41.256602	3.287438	70.308553	26.404009
오후 9:24:22.319 	32.001981	37.952061	12.417071	7.913650	4.833919	37.343584	37.920177	9.922826	5.891547	3.464066	72.796209	50.393437	39.959020	2.954395	70.638590	26.407014
오후 9:24:23.364 	31.855132	38.105202	12.471453	7.907330	4.753760	37.120945	38.165667	9.888469	5.919803	3.488964	72.878909	50.641397	39.959020	2.252564	69.825123	27.922312
오후 9:24:24.319 	32.153209	37.859626	12.279336	7.952033	4.743902	37.222989	38.050601	9.986472	5.819411	3.442070	72.927645	50.369061	40.027151	1.953848	67.480020	30.566132
오후 9:24:25.247 	32.191162	38.076463	12.244347	7.902649	4.712151	37.157535	38.601434	10.031420	5.557305	3.201295	73.065539	51.003889	37.863986	1.446763	69.380820	29.172418
