Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:35:46.965 	20.883184	35.366610	18.480461	12.179876	3.741236	22.309202	34.326042	17.403768	12.088567	4.992339	115.685662	17.866419	27.629249	14.636175	48.693181	36.670644
오후 8:35:47.859 	20.786436	35.471266	18.379409	12.074186	3.765341	22.159585	34.654855	17.227804	12.079964	5.032265	115.726775	17.696838	26.616607	14.609572	48.514250	36.876179
오후 8:35:48.921 	21.255394	35.050858	18.415598	12.018464	3.788253	22.486132	34.160282	17.342129	12.109833	5.086259	115.628151	17.328433	26.660250	14.680472	48.519426	36.800102
오후 8:35:49.887 	20.711267	33.489657	19.055693	12.913918	4.125355	22.452678	33.186044	17.816988	12.677528	5.311769	115.649749	17.182423	26.544563	16.011831	47.841559	36.146610
오후 8:35:50.930 	20.329534	33.624737	19.208945	12.960924	4.154404	22.195552	33.277577	17.965275	12.681460	5.354972	115.521192	17.835634	27.055314	17.023186	47.750270	35.226544
오후 8:35:51.932 	20.341195	33.667871	19.346349	12.778364	4.178072	22.006126	33.513724	18.195911	12.538497	5.347442	115.392321	17.715168	26.795871	17.546581	47.757736	34.695683
오후 8:35:52.877 	24.679663	33.322836	17.441752	11.203107	3.689672	24.315215	33.305608	16.898798	11.521962	4.928131	115.264036	17.300057	25.889107	16.585686	51.841014	31.573300
오후 8:35:53.948 	24.090461	34.896785	16.794417	10.753217	3.530924	24.239456	34.361448	16.319598	11.079380	4.727506	115.112067	18.663348	26.984138	15.137126	51.270959	33.591914
오후 8:35:54.945 	23.219537	35.043736	17.084232	11.205313	3.719934	22.908552	34.003648	16.927495	12.227454	5.123456	114.992375	18.739073	27.778380	14.505762	52.585018	32.909220
오후 8:35:55.900 	23.118143	35.057445	17.016659	11.270397	3.907473	22.934849	34.073703	16.798752	12.080902	5.224100	114.941645	18.806433	27.875939	14.240529	52.379539	33.379932
